daydatetime,aver_speed_offset
2016-03-14 00:00:00,0.273721
2016-03-14 00:02:00,0.292862
2016-03-14 00:04:00,0.244544
2016-03-14 00:06:00,0.272338
2016-03-14 00:08:00,0.294595
2016-03-14 00:10:00,0.280387
2016-03-14 00:12:00,0.36508
2016-03-14 00:14:00,0.285423
2016-03-14 00:16:00,0.270883
2016-03-14 00:18:00,0.285909
2016-03-14 00:20:00,0.228034
2016-03-14 00:22:00,0.258402
2016-03-14 00:24:00,0.204112
2016-03-14 00:26:00,0.208108
2016-03-14 00:28:00,0.23224
2016-03-14 00:30:00,0.252879
2016-03-14 00:32:00,0.289457
2016-03-14 00:34:00,0.284895
2016-03-14 00:36:00,0.309197
2016-03-14 00:38:00,0.309714
2016-03-14 00:40:00,0.310274
2016-03-14 00:42:00,0.192163
2016-03-14 00:44:00,0.223789
2016-03-14 00:46:00,0.225262
2016-03-14 00:48:00,0.231016
2016-03-14 00:50:00,0.197127
2016-03-14 00:52:00,0.201181
2016-03-14 00:54:00,0.228821
2016-03-14 00:56:00,0.274573
2016-03-14 00:58:00,0.299803
2016-03-14 01:00:00,0.224587
2016-03-14 01:02:00,0.205284
2016-03-14 01:04:00,0.197452
2016-03-14 01:06:00,0.252052
2016-03-14 01:08:00,0.229613
2016-03-14 01:10:00,0.215759
2016-03-14 01:12:00,0.19559
2016-03-14 01:14:00,0.23655
2016-03-14 01:16:00,0.266109
2016-03-14 01:18:00,0.29986
2016-03-14 01:20:00,0.279003
2016-03-14 01:22:00,0.256077
2016-03-14 01:24:00,0.235859
2016-03-14 01:26:00,0.229151
2016-03-14 01:28:00,0.203491
2016-03-14 01:30:00,0.252948
2016-03-14 01:32:00,0.211737
2016-03-14 01:34:00,0.253366
2016-03-14 01:36:00,0.275399
2016-03-14 01:38:00,0.242621
2016-03-14 01:40:00,0.22317
2016-03-14 01:42:00,0.228336
2016-03-14 01:44:00,0.198692
2016-03-14 01:46:00,0.244014
2016-03-14 01:48:00,0.235941
2016-03-14 01:50:00,0.246517
2016-03-14 01:52:00,0.278287
2016-03-14 01:54:00,0.295747
2016-03-14 01:56:00,0.268612
2016-03-14 01:58:00,0.26687
2016-03-14 02:00:00,0.235853
2016-03-14 02:02:00,0.192402
2016-03-14 02:04:00,0.209488
2016-03-14 02:06:00,0.174198
2016-03-14 02:08:00,0.210854
2016-03-14 02:10:00,0.236307
2016-03-14 02:12:00,0.228146
2016-03-14 02:14:00,0.230588
2016-03-14 02:16:00,0.283253
2016-03-14 02:18:00,0.239189
2016-03-14 02:20:00,0.300881
2016-03-14 02:22:00,0.249981
2016-03-14 02:24:00,0.252116
2016-03-14 02:26:00,0.251491
2016-03-14 02:28:00,0.240387
2016-03-14 02:30:00,0.186588
2016-03-14 02:32:00,0.24061
2016-03-14 02:34:00,0.188894
2016-03-14 02:36:00,0.228052
2016-03-14 02:38:00,0.207411
2016-03-14 02:40:00,0.232279
2016-03-14 02:42:00,0.20714
2016-03-14 02:44:00,0.192189
2016-03-14 02:46:00,0.160919
