link_id,time,speed
4555,00:00:00,0.285714
0329,00:00:00,0.275862
8893,00:00:00,0.552632
3759,00:00:00,0.15
4028,00:00:00,-0.0847458
4594,00:00:00,-0.142857
3328,00:00:00,0.25
0784,00:00:00,0.452632
3525,00:00:00,0.0317461
6169,00:00:00,0.758621
1784,00:00:00,0.123595
2769,00:00:00,0.39759
0395,00:00:00,0.360656
1741,00:00:00,0.0568182
2776,00:00:00,-0.0649351
5566,00:00:00,-0.419048
7243,00:00:00,0.384615
0913,00:00:00,0.242718
8175,00:00:00,0.284404
3959,00:00:00,0.139785
2969,00:00:00,0.403846
5525,00:00:00,0.722222
9674,00:00:00,0.123595
8194,00:00:00,0.134021
4525,00:00:00,0.218487
9244,00:00:00,-0.375
9863,00:00:00,0.228261
8041,00:00:00,0.114754
5041,00:00:00,0.0283019
9434,00:00:00,0.101124
6032,00:00:00,0.141509
4514,00:00:00,0.106383
1041,00:00:00,-0.00892861
7869,00:00:00,0.457143
0763,00:00:00,-0.0392157
1241,00:00:00,0.222222
0241,00:00:00,0.060606
8869,00:00:00,0.840426
7886,00:00:00,-0.295652
7194,00:00:00,0.156863
9063,00:00:00,-0.390805
9044,00:00:00,-0.0352941
7674,00:00:00,-2.69444
9175,00:00:00,0.350427
8593,00:00:00,0.64
6525,00:00:00,0.42268
5343,00:00:00,-0.00925921
2653,00:00:00,0.047244
9525,00:00:00,-0.431373
8663,00:00:00,-0.0194175
1141,00:00:00,0.112903
2763,00:00:00,0.878788
5032,00:00:00,0.219298
0234,00:00:00,-0.036036
3422,00:00:00,0.094017
0141,00:00:00,0.211864
1555,00:00:00,-0.120482
3815,00:00:00,-0.191919
1969,00:00:00,0.0196078
1518,00:00:00,0.246914
3141,00:00:00,0.333333
0863,00:00:00,-0.0183487
1763,00:00:00,-0.125
7663,00:00:00,0.860759
3769,00:00:00,0.0740741
4838,00:00:00,0
4141,00:00:00,-0.046729
5334,00:00:00,0.589041
2532,00:00:00,-0.486957
3776,00:00:00,0.0760869
2418,00:00:00,0.047619
7425,00:00:00,0.425743
6843,00:00:00,0.0535714
9243,00:00:00,0.242718
4422,00:00:00,0.494949
9141,00:00:00,0.0487804
8421,00:00:00,0.488095
9425,00:00:00,0.218487
0163,00:00:00,0.0769231
0969,00:00:00,0.321101
6343,00:00:00,0.0857143
8425,00:00:00,0.569892
2759,00:00:00,0.478261
2815,00:00:00,-0.23
4959,00:00:00,0.53012
6566,00:00:00,0.337349
6681,00:00:00,-0.0447761
2328,00:00:00,0.102273
4769,00:00:00,0.320988
5594,00:00:00,0.534247
5141,00:00:00,-0.573529
4759,00:00:00,0.24359
3125,00:00:00,-0.222222
4653,00:00:00,0.211864
7863,00:00:00,0.172414
0344,00:00:00,0.315315
6918,00:00:00,-0.536585
7169,00:00:00,-0.742857
2141,00:00:00,-0.0338983
0815,00:00:00,0.145833
1234,00:00:00,0.205357
8234,00:00:00,0.566667
8738,00:00:00,0.0208334
8243,00:00:00,-0.6
5681,00:00:00,-0.0648148
7141,00:00:00,-0.191489
5759,00:00:00,-0.0714286
9813,00:00:00,-0.428571
9228,00:00:00,0
2541,00:00:00,0
5934,00:00:00,0
7959,00:00:00,0
9869,00:00:00,0
2959,00:00:00,0
7063,00:00:00,0
0028,00:00:00,0
5434,00:00:00,0
6141,00:00:00,0
8959,00:00:00,0
9663,00:00:00,0
1774,00:00:00,0
5615,00:00:00,0
6041,00:00:00,0
8063,00:00:00,0
0334,00:00:00,0
4395,00:00:00,0
6334,00:00:00,0
9041,00:00:00,0
7934,00:00:00,0
8228,00:00:00,0
1959,00:00:00,0
6615,00:00:00,0
2763,00:02:00,0.878788
9244,00:02:00,-0.413462
0329,00:02:00,0.344828
7243,00:02:00,0.153846
0141,00:02:00,0.211864
2776,00:02:00,0.103896
6681,00:02:00,-0.0447761
1141,00:02:00,0.153226
0763,00:02:00,-0.0588236
6343,00:02:00,-0.152381
7886,00:02:00,-0.295652
9525,00:02:00,-0.696078
4514,00:02:00,0.106383
2418,00:02:00,-0.152381
8869,00:02:00,0.744681
8421,00:02:00,-0.0238096
6843,00:02:00,-0.0892857
6918,00:02:00,-0.658537
9243,00:02:00,0.242718
9863,00:02:00,0.228261
2769,00:02:00,0.301205
4594,00:02:00,-0.087912
9813,00:02:00,-0.428571
9041,00:02:00,0.415929
2969,00:02:00,0.288462
4769,00:02:00,0.320988
1241,00:02:00,0.222222
3815,00:02:00,-0.121212
1969,00:02:00,0.0196078
8593,00:02:00,0.5
9044,00:02:00,0.164706
8194,00:02:00,0.247423
5759,00:02:00,-0.142857
8175,00:02:00,0.33945
7425,00:02:00,0.356436
5141,00:02:00,-0.573529
9425,00:02:00,0.386555
8228,00:02:00,-0.192308
0241,00:02:00,0.0505051
1763,00:02:00,-0.354167
9674,00:02:00,0.123595
5032,00:02:00,0.315789
6566,00:02:00,0.0963856
8425,00:02:00,0.44086
3525,00:02:00,0.0634921
0234,00:02:00,-0.036036
7863,00:02:00,0.137931
6041,00:02:00,0.169231
2532,00:02:00,-0.486957
1784,00:02:00,-0.0674158
0913,00:02:00,0.242718
7169,00:02:00,-0.742857
8234,00:02:00,0.4
4759,00:02:00,0.0897436
3759,00:02:00,0.04
0863,00:02:00,-0.0366973
0334,00:02:00,0.00833337
7141,00:02:00,-0.138298
2328,00:02:00,0.227273
2541,00:02:00,0.568182
0163,00:02:00,0.0769231
0969,00:02:00,0.293578
2141,00:02:00,0.338983
9434,00:02:00,0.179775
4395,00:02:00,-0.743903
9663,00:02:00,-0.245283
9141,00:02:00,-0.0243902
7194,00:02:00,0.27451
5566,00:02:00,-0.47619
5681,00:02:00,-0.0648148
3141,00:02:00,0.297297
6032,00:02:00,0.0943396
4525,00:02:00,-0.12605
